"pathwayRampId","inPathway","total"
"RAMP_P_000000318",4,12960
"RAMP_P_000000319",14,12960
"RAMP_P_000000320",1,12960
"RAMP_P_000000321",14,12960
"RAMP_P_000000322",28,12960
"RAMP_P_000000323",0,12960
"RAMP_P_000000324",36,12960
"RAMP_P_000000325",56,12960
"RAMP_P_000000326",0,12960
"RAMP_P_000000327",8,12960
"RAMP_P_000000328",27,12960
"RAMP_P_000000329",2,12960
"RAMP_P_000000330",27,12960
"RAMP_P_000000331",30,12960
"RAMP_P_000000332",56,12960
"RAMP_P_000000333",0,12960
"RAMP_P_000000334",14,12960
"RAMP_P_000000335",5,12960
"RAMP_P_000000336",30,12960
"RAMP_P_000000337",28,12960
"RAMP_P_000000338",0,12960
"RAMP_P_000000339",28,12960
"RAMP_P_000000340",5,12960
"RAMP_P_000000341",28,12960
"RAMP_P_000000342",19,12960
"RAMP_P_000000343",2,12960
"RAMP_P_000000344",0,12960
"RAMP_P_000000345",9,12960
"RAMP_P_000000346",0,12960
"RAMP_P_000000347",0,12960
"RAMP_P_000000348",69,12960
"RAMP_P_000000349",20,12960
"RAMP_P_000000350",31,12960
"RAMP_P_000000351",56,12960
"RAMP_P_000000352",0,12960
"RAMP_P_000000353",7,12960
"RAMP_P_000000354",33,12960
"RAMP_P_000000355",30,12960
"RAMP_P_000000356",15,12960
"RAMP_P_000000357",28,12960
"RAMP_P_000000358",36,12960
"RAMP_P_000000359",28,12960
"RAMP_P_000000360",28,12960
"RAMP_P_000000361",33,12960
"RAMP_P_000000362",11,12960
"RAMP_P_000000363",32,12960
"RAMP_P_000000364",56,12960
"RAMP_P_000000365",33,12960
"RAMP_P_000000366",8,12960
"RAMP_P_000000367",9,12960
"RAMP_P_000000368",10,12960
"RAMP_P_000000369",4,12960
"RAMP_P_000000370",14,12960
"RAMP_P_000000371",1,12960
"RAMP_P_000000372",27,12960
"RAMP_P_000000373",56,12960
"RAMP_P_000000374",0,12960
"RAMP_P_000000375",20,12960
"RAMP_P_000000376",22,12960
"RAMP_P_000000377",22,12960
"RAMP_P_000000378",15,12960
"RAMP_P_000000379",33,12960
"RAMP_P_000000380",56,12960
"RAMP_P_000000381",20,12960
"RAMP_P_000000382",33,12960
"RAMP_P_000000383",22,12960
"RAMP_P_000000384",6,12960
"RAMP_P_000000385",4,12960
"RAMP_P_000000386",33,12960
"RAMP_P_000000387",39,12960
"RAMP_P_000000388",17,12960
"RAMP_P_000000389",15,12960
"RAMP_P_000000390",28,12960
"RAMP_P_000000391",0,12960
"RAMP_P_000000392",4,12960
"RAMP_P_000000393",56,12960
"RAMP_P_000000394",14,12960
"RAMP_P_000000395",1,12960
"RAMP_P_000000396",14,12960
"RAMP_P_000000397",4,12960
"RAMP_P_000000398",15,12960
"RAMP_P_000000399",28,12960
"RAMP_P_000000400",26,12960
"RAMP_P_000000401",33,12960
"RAMP_P_000000402",0,12960
"RAMP_P_000000403",30,12960
"RAMP_P_000000404",22,12960
"RAMP_P_000000405",15,12960
"RAMP_P_000000406",1,12960
"RAMP_P_000000407",5,12960
"RAMP_P_000000408",8,12960
"RAMP_P_000000409",15,12960
"RAMP_P_000000410",0,12960
"RAMP_P_000000411",8,12960
"RAMP_P_000000412",5,12960
"RAMP_P_000000413",27,12960
"RAMP_P_000000414",30,12960
"RAMP_P_000000415",23,12960
"RAMP_P_000000416",22,12960
"RAMP_P_000000417",33,12960
"RAMP_P_000000418",0,12960
"RAMP_P_000000419",56,12960
"RAMP_P_000000420",10,12960
"RAMP_P_000000421",8,12960
"RAMP_P_000000422",33,12960
"RAMP_P_000000423",56,12960
"RAMP_P_000000424",5,12960
"RAMP_P_000000425",5,12960
"RAMP_P_000000426",36,12960
"RAMP_P_000000427",19,12960
"RAMP_P_000000428",23,12960
"RAMP_P_000000429",36,12960
"RAMP_P_000000430",3,12960
"RAMP_P_000000431",56,12960
"RAMP_P_000000432",23,12960
"RAMP_P_000000433",14,12960
"RAMP_P_000000434",56,12960
"RAMP_P_000000435",9,12960
"RAMP_P_000000436",10,12960
"RAMP_P_000000437",11,12960
"RAMP_P_000000438",5,12960
"RAMP_P_000000439",0,12960
"RAMP_P_000000440",11,12960
"RAMP_P_000000441",28,12960
"RAMP_P_000000442",27,12960
"RAMP_P_000000443",8,12960
"RAMP_P_000000444",22,12960
"RAMP_P_000000445",4,12960
"RAMP_P_000000446",56,12960
"RAMP_P_000000447",28,12960
"RAMP_P_000000448",27,12960
"RAMP_P_000000449",30,12960
"RAMP_P_000000450",33,12960
"RAMP_P_000000451",56,12960
"RAMP_P_000000452",26,12960
"RAMP_P_000000453",30,12960
"RAMP_P_000000454",1,12960
"RAMP_P_000000455",4,12960
"RAMP_P_000000456",15,12960
"RAMP_P_000000457",11,12960
"RAMP_P_000000458",27,12960
"RAMP_P_000000459",18,12960
"RAMP_P_000000460",13,12960
"RAMP_P_000000461",27,12960
"RAMP_P_000000462",22,12960
"RAMP_P_000000463",0,12960
"RAMP_P_000000464",0,12960
"RAMP_P_000000465",7,12960
"RAMP_P_000000466",4,12960
"RAMP_P_000000467",28,12960
"RAMP_P_000000468",0,12960
"RAMP_P_000000469",12,12960
"RAMP_P_000000470",14,12960
"RAMP_P_000000471",33,12960
"RAMP_P_000000472",56,12960
"RAMP_P_000000473",23,12960
"RAMP_P_000000474",33,12960
"RAMP_P_000000475",28,12960
"RAMP_P_000000476",56,12960
"RAMP_P_000000477",4,12960
"RAMP_P_000000478",4,12960
"RAMP_P_000000479",9,12960
"RAMP_P_000000480",15,12960
"RAMP_P_000000481",27,12960
"RAMP_P_000000482",30,12960
"RAMP_P_000000483",8,12960
"RAMP_P_000000484",14,12960
"RAMP_P_000000485",9,12960
"RAMP_P_000000486",11,12960
"RAMP_P_000000487",14,12960
"RAMP_P_000000488",18,12960
"RAMP_P_000000489",1,12960
"RAMP_P_000000490",18,12960
"RAMP_P_000000491",27,12960
"RAMP_P_000000492",56,12960
"RAMP_P_000000493",23,12960
"RAMP_P_000000494",26,12960
"RAMP_P_000000495",28,12960
"RAMP_P_000000496",0,12960
"RAMP_P_000000497",4,12960
"RAMP_P_000000498",28,12960
"RAMP_P_000000499",27,12960
"RAMP_P_000000500",11,12960
"RAMP_P_000000501",7,12960
"RAMP_P_000000502",4,12960
"RAMP_P_000000503",9,12960
"RAMP_P_000000504",10,12960
"RAMP_P_000000505",8,12960
"RAMP_P_000000506",20,12960
"RAMP_P_000000507",33,12960
"RAMP_P_000000508",30,12960
"RAMP_P_000000509",13,12960
"RAMP_P_000000510",22,12960
"RAMP_P_000000511",8,12960
"RAMP_P_000000512",8,12960
"RAMP_P_000000513",21,12960
"RAMP_P_000000514",9,12960
"RAMP_P_000000515",28,12960
"RAMP_P_000000516",7,12960
"RAMP_P_000000517",0,12960
"RAMP_P_000000518",7,12960
"RAMP_P_000000519",0,12960
"RAMP_P_000000520",7,12960
"RAMP_P_000000521",13,12960
"RAMP_P_000000522",1,12960
"RAMP_P_000000523",7,12960
"RAMP_P_000000524",58,12960
"RAMP_P_000000525",8,12960
"RAMP_P_000000526",13,12960
"RAMP_P_000000527",5,12960
"RAMP_P_000000528",36,12960
"RAMP_P_000000529",36,12960
"RAMP_P_000000530",14,12960
"RAMP_P_000000531",13,12960
"RAMP_P_000000532",1,12960
"RAMP_P_000000533",4,12960
"RAMP_P_000000534",12,12960
"RAMP_P_000000535",56,12960
"RAMP_P_000000536",26,12960
"RAMP_P_000000537",0,12960
"RAMP_P_000000538",27,12960
"RAMP_P_000000539",34,12960
"RAMP_P_000000540",5,12960
"RAMP_P_000000541",4,12960
"RAMP_P_000000542",5,12960
"RAMP_P_000000543",9,12960
"RAMP_P_000000544",9,12960
"RAMP_P_000000545",27,12960
"RAMP_P_000000546",14,12960
"RAMP_P_000000547",14,12960
"RAMP_P_000000548",18,12960
"RAMP_P_000000549",20,12960
"RAMP_P_000000550",56,12960
"RAMP_P_000000551",8,12960
"RAMP_P_000000552",1,12960
"RAMP_P_000000553",36,12960
"RAMP_P_000000554",14,12960
"RAMP_P_000000555",24,12960
"RAMP_P_000000556",1,12960
"RAMP_P_000000557",22,12960
"RAMP_P_000000558",18,12960
"RAMP_P_000000559",33,12960
"RAMP_P_000000560",23,12960
"RAMP_P_000000561",14,12960
"RAMP_P_000000562",7,12960
"RAMP_P_000000563",19,12960
"RAMP_P_000000564",11,12960
"RAMP_P_000000565",56,12960
"RAMP_P_000000566",22,12960
"RAMP_P_000000567",56,12960
"RAMP_P_000000568",1,12960
"RAMP_P_000000569",12,12960
"RAMP_P_000000570",10,12960
"RAMP_P_000000571",7,12960
